snippet,lead_paragraph,word_count,pub_date,headline.main,subsection_name,year
"The most recent attackers were isolated, self-radicalized individuals. That has raised questions about the government’s response.","PARIS — All were unknown to police intelligence officials. None pledged allegiance to a terrorist group, and no group claimed them as members. None stated any political agenda. Signs of radicalization, if at all visible, were expressed on social media. And they came armed with little more than knives.",1398,2020-11-06,Attacks in France Point to a Threat Beyond Extremist Networks,Europe,2020
The 15-year-old from Ivory Coast died in a hospital after being evacuated from one of the cruise ships where Italian authorities are keeping migrants as part of efforts to limit the spread of Covid-19.,Italian authorities are investigating the death of a 15-year old boy from Ivory Coast who spent days on a “quarantine vessel” where migrants are being confined as a measure to prevent the spread of the coronavirus.,670,2020-10-08,Migrant Boy Dies After Confinement on Italian Quarantine Ship,Europe,2020
"The Caprera, an Italian warship, was deployed to Tripoli to help combat people-smugglers in Libya. Some of its sailors gathered a cargo of contraband.","BRINDISI, Italy — By the time the Caprera, a small gray Italian warship, returned to its base in southern Italy in July 2018, it had helped intercept more than 80 migrant smuggling boats off the coast of Libya, and stopped more than 7,000 people from reaching Europe.",1573,2020-09-28,"The Ship That Stopped 7,000 Migrants, and Smuggled 700,000 Cigarettes",Europe,2020
"The bloc wants to persuade its most anti-immigrant member countries to agree to a common policy. But the future of its new plan, like many of its details, remains uncertain.","BRUSSELS — The European Union on Wednesday unveiled a new attempt to cajole reluctant member nations into participating in a common system for handling asylum seekers, offering them both cash incentives to take in refugees and quicker deportation of people who are denied asylum.",1056,2020-09-23,E.U. Offers Cash and More Deportations in New Plan for Migrants,Europe,2020
"The move comes a week after fires destroyed the Moria camp, where 12,000 people were living. But rights groups say the new camp is only a temporary solution.","When fires tore through the Moria camp for migrants on the Greek island of Lesbos last week, about 12,000 people were displaced and left to sleep on the sides of roads, in parking lots or in graveyards.",671,2020-09-17,Police Move Migrants From Greek Camp to Temporary Lesbos Site After Fires,Europe,2020
"Years after the Syrian refugee crisis subsided, asylum seekers from other nations face even higher obstacles to enter Europe, which is more ambivalent about accepting them than ever.","LESBOS, Greece — A 31-year-old law school graduate, Masomeh Etemadi says she left Iran with her husband and two children to escape persecution as a Hazara minority. Now, she says, she doesn’t care where in Europe her family ends up. As long as it isn’t here.",1589,2020-09-18,"After Fire at Refugee Camp, Europe Faces a Reckoning",Europe,2020
"Four men are accused of involvement in the blazes at the Moria camp that left 12,000 migrants without shelter.","MYTILENE, Greece (AP) — Four Afghans were charged with arson on Wednesday for the alleged involvement in fires that destroyed most of a large migrant camp on the Greek island of Lesbos, authorities said.",190,2020-09-16,Afghan Migrants Charged With Arson in Fires that Destroyed Lesbos Camp,Europe,2020
"The migrants were transferred from the tanker, the Maersk Etienne, to a humanitarian vessel before docking in Sicily after 40 days at sea.","Forty days after being rescued by a shipping tanker in the Mediterranean and then being prevented from coming ashore by the Maltese authorities, a group of 27 migrants was finally allowed to disembark in Italy over the weekend.",704,2020-09-14,Migrants Rescued by Tanker Arrive in Italy After Weekslong Standoff,Europe,2020
"The camp, already a bleak emblem of Europe’s migrant policy, was locked down after a coronavirus outbreak, prompting some asylum seekers to set fires that left thousands homeless.","LESBOS, Greece — They’ve been sleeping on tombstones and on the side of the road, in parking lots and among dried weeds on the hillsides. They’ve pitched makeshift tents with bamboo poles and blankets. They’ve used the few clothes they have to make mattresses so their babies don’t sleep on tarmac.",1592,2020-09-13,"After Fire Razes Squalid Greek Camp, Homeless Migrants Fear What’s Next",Europe,2020
"Frustrated asylum seekers lit fires this week in protest over lockdowns that worsened cramped and squalid conditions on Lesbos. Now 12,000 migrants are homeless.","ATHENS — The thousands of asylum seekers crammed into Europe’s largest refugee camp, on the Greek island of Lesbos, had for years bridled at their squalid conditions and the endless delays in resolving their fates. Then came the coronavirus and its strict containment measures, which compounded their misery.",1064,2020-09-10,Pandemic Collides With Europe’s Migrant Crisis to Set Off a Calamity in Greece,Europe,2020
"While it could prove politically unpopular, Angela Merkel’s government will accept more than 1,500 refugees now living in Greece. It appeared to be a challenge to other E.U. members to do their part.","BERLIN — Germany agreed on Tuesday to take in more than 1,500 refugees now living in Greece, in a challenge to other wealthy European countries that have been reluctant to help Greece resettle thousands of people left homeless after blazes last week destroyed Europe’s largest refugee camp.",788,2020-09-15,"Germany to Take In 1,500 Refugees, Easing Burden on Greece After Fires",Europe,2020
The weekslong refusal by Malta and other nations to allow a tanker from a major global company to dock reflects an escalation in hard-line tactics against migrants.,"Thirty days ago, the tanker Maersk Etienne responded to requests from Maltese authorities to help a nearby boat in distress.",840,2020-09-04,Tanker Asked to Rescue Migrants Off Malta Is Denied Permission to Dock,Europe,2020
"Right-wing politicians say migrants threaten Italy by bringing Covid-19 with them, even as official data shows “minimal” effect from new arrivals.","POZZALLO, Italy — As the summer vacation season draws to a close in Italy, a flare-up of Covid-19 cases is fueling a surge in anti-immigrant sentiment, even though the government says that migrants are just a small part of the problem.",1180,2020-08-28,"As Coronavirus Reappears in Italy, Migrants Become a Target for Politicians",Europe,2020
Campaigners have long warned that the overcrowded conditions at the impoverished camp might lead to catastrophe.,"Europe’s largest refugee camp, on the Greek island of Lesbos, has long been a desperate makeshift home for thousands of refugees and migrants who have risked everything to flee war and economic hardship for a better life.",1296,2020-09-09,"Fire Destroys Most of Europe’s Largest Refugee Camp, on Greek Island of Lesbos",Europe,2020
About 400 migrants remain stranded aboard several rescue vessels in the central Mediterranean as international aid groups urge European officials to let them come ashore.,The British street artist Banksy has accused European officials of ignoring maritime distress calls from non-Europeans after he helped fund a rescue vessel to assist migrants stranded in the central Mediterranean for days.,570,2020-08-30,Banksy-Funded Rescue Vessel Evacuated After Distress Call,Europe,2020
Boubacar Wann Diallo is devoted to determining the names and origins of corpses that wash up on Morocco’s shores and to giving them a decent final resting place.,"NADOR, Morocco — For months, Boubacar Wann Diallo could not sleep at night without leaving a light on.",1269,2020-08-28,‘It’s a Joy for Me to Bury Them’: A Quest to Honor Migrant Dead,Africa,2020
A second man from Northern Ireland has pleaded guilty in a case that shocked Britons when the bodies of 39 Vietnamese were found in a truck trailer.,"LONDON — A trucking company manager from Northern Ireland pleaded guilty on Friday to the manslaughter of 39 Vietnamese people, including two 15-year-old boys, whose bodies were found last year in a truck trailer in Essex, east of London.",267,2020-08-28,Executive Admits Manslaughter in U.K. Trafficking Case Involving Vietnamese,Europe,2020
"Many Greeks have grown frustrated as tens of thousands of asylum seekers languished on Greek islands. Now, evidence shows, a new conservative government has a new method of keeping them out.","RHODES, Greece — The Greek government has secretly expelled more than 1,000 refugees from Europe’s borders in recent months, sailing many of them to the edge of Greek territorial waters and then abandoning them in inflatable and sometimes overburdened life rafts.",1686,2020-08-14,"Taking Hard Line, Greece Turns Back Migrants by Abandoning Them at Sea",Europe,2020
"The number of immigrants arrested at the southwestern border has more than doubled since the spring, fueled by Mexico’s economic slump and a Trump administration policy that migrants say works in their favor.","NOGALES, Mexico — Illegal migration along the southwest border of the United States has surged after a period of stagnation, as economic hardship, made worse by the pandemic, has driven thousands northward seeking work.",1498,2020-08-06,"After a Lull, the Number of Migrants Trying to Enter the U.S. Has Soared",Americas,2020
"Stigmatized, out of work and facing dangers, migrant laborers are returning by the thousands — and may be fueling a growing outbreak in Ethiopia.","ADDIS ABABA, Ethiopia — Unemployed and shunned as possible coronavirus carriers, Ethiopian migrant laborers are returning home by the thousands, placing a huge strain on Ethiopia’s poorly equipped medical system.",1248,2020-08-01,"Ethiopian Workers Are Forced to Return Home, Some With Coronavirus",Africa,2020
A boat carrying 95 migrants on the Mediterranean floated adrift for more than 30 hours before the Maltese authorities finally brought them to shore under intense pressure.,"The rubber dinghy packed tight with more that 95 people was bobbing helplessly in the Mediterranean on Sunday when the passengers issued a distress call, but help would not come anytime soon.",769,2020-07-27,Migrants Adrift Off Malta Called for Help. Then They Waited. And Waited.,Europe,2020
